phi_deg,RCS_th_dBsm,RCS_ph_dBsm
0,-100,-100
1,-35.2988073350077,-100
2,-29.0974824073118,-100
3,-25.3098805682973,-100
4,-22.5091796847514,-100
5,-20.2953190348656,-100
6,-18.5366680638975,-100
7,-17.2122724839171,-100
8,-16.3697513690009,-100
9,-16.1283433950702,-100
10,-16.7310732657015,-100
11,-18.7398077190136,-100
12,-24.0803384724562,-100
13,-37.2393567790255,-100
14,-19.3292756801552,-100
15,-13.6246630234774,-100
16,-10.5901610255394,-100
17,-9.24420971069127,-100
18,-9.56483325926359,-100
19,-12.3305362029526,-100
20,-22.4968396017488,-100
21,-17.0968578416836,-100
22,-9.19953248274039,-100
23,-6.48806521599055,-100
24,-6.83243602495784,-100
25,-11.5256203512655,-100
26,-25.1130595782471,-100
27,-8.10457269958834,-100
28,-4.52554848659504,-100
29,-5.49096667507912,-100
30,-14.4422063064338,-100
31,-10.6649881537607,-100
32,-3.61080487272161,-100
33,-3.51191348047461,-100
34,-11.9526382094453,-100
35,-8.5941955193403,-100
36,-1.9611646803201,-100
37,-3.31059974864384,-100
38,-28.4707515086409,-100
39,-3.1368794441136,-100
40,-0.699683369373837,-100
41,-8.47215638300486,-100
42,-5.16222987281404,-100
43,0.441890725172441,-100
44,-4.57154911478763,-100
45,-6.14912979405557,-100
46,1.32718265817537,-100
47,-3.48516205898762,-100
48,-4.55829079248837,-100
49,2.26472844089342,-100
50,-4.78555691871456,-100
51,-1.09200427940507,-100
52,2.8988484986678,-100
53,-12.8866680085793,-100
54,2.45131517126199,-100
55,2.21054568339445,-100
56,-6.79074420320172,-100
57,4.77464038859793,-100
58,-2.81358249785019,-100
59,2.87006888902801,-100
60,4.57092636760355,-100
61,-6.8409599761363,-100
62,6.51973449209164,-100
63,-2.7736968190356,-100
64,5.63832694441117,-100
65,5.17383649591284,-100
66,1.41317630455356,-100
67,8.21126349887401,-100
68,-20.7214578456324,-100
69,9.22810269453346,-100
70,1.18460948208902,-100
71,8.80821495719468,-100
72,7.53479714475026,-100
73,6.85375032155779,-100
74,10.9013653523031,-100
75,2.13153085434725,-100
76,13.0114146501172,-100
77,-33.961548882574,-100
78,14.4151744646836,-100
79,4.02081665743118,-100
80,15.3699395456528,-100
81,11.2626665114024,-100
82,16.0200334656441,-100
83,16.2518079296882,-100
84,16.4543996954497,-100
85,20.8111779023525,-100
86,16.7298994465656,-100
87,26.1856175429716,-100
88,16.8821270990849,-100
89,36.1592489688963,-100
90,39.5114732856661,-100
